Congress,S.Amdt.No,Amends,Sponsor,Latest Action,url,Latest Action Date,Sponsor Party,Outcome,Action Type
118th Congress (2023-2024),S.Amdt.3215,S.2781,"Heinrich, Martin [Sen.-D-NM]",Amendment SA 3215 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/3215?r=36&s=1&r=77,07/31/24,D,A,UC
118th Congress (2023-2024),S.Amdt.3201,S.133,"Collins, Susan M. [Sen.-R-ME]",Amendment SA 3201 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/3201?r=36&s=1&r=78,07/30/24,R,A,UC
118th Congress (2023-2024),S.Amdt.3021,S.2073,"Schumer, Charles E. [Sen.-D-NY]",Amendment SA 3021 agreed to in Senate by Yea-Nay Vote. 91 - 3. Record Vote Number: 221. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/3021?r=36&s=1&r=79,07/30/24,D,A,RCV
118th Congress (2023-2024),S.Amdt.3049,S.3696,"Durbin, Richard J. [Sen.-D-IL]",Amendment SA 3049 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/3049?r=36&s=1&r=80,07/23/24,D,A,UC
118th Congress (2023-2024),S.Amdt.2399,S.150,"Cornyn, John [Sen.-R-TX]",Amendment SA 2399 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/2399?r=36&s=1&r=81,07/11/24,R,A,UC
118th Congress (2023-2024),S.Amdt.2248,S.412,"Klobuchar, Amy [Sen.-D-MN]",Amendment SA 2248 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/2248?r=36&s=1&r=82,07/10/24,D,A,UC
118th Congress (2023-2024),S.Amdt.2074,S.1987,"Tester, Jon [Sen.-D-MT]",Amendment SA 2074 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/2074?r=36&s=1&r=83,06/20/24,D,A,UC
118th Congress (2023-2024),S.Amdt.2073,S.2291,"Peters, Gary C. [Sen.-D-MI]",Amendment SA 2073 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/2073?r=36&s=1&r=84,06/05/24,D,A,UC
118th Congress (2023-2024),S.Amdt.2072,S.3237,"Tillis, Thomas [Sen.-R-NC]",Amendment SA 2072 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/2072?r=36&s=1&r=85,06/04/24,R,A,UC
118th Congress (2023-2024),S.Amdt.1911,H.R.3935,"Cantwell, Maria [Sen.-D-WA]",Amendment SA 1911 as modified agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1911?r=36&s=1&r=86,05/09/24,D,A,VV
118th Congress (2023-2024),S.Amdt.2066,S.2825,"Cornyn, John [Sen.-R-TX]",Amendment SA 2066 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/2066?r=36&s=1&r=87,05/09/24,R,A,UC
118th Congress (2023-2024),S.Amdt.1835,S.2958,"Carper, Thomas R. [Sen.-D-DE]",Amendment SA 1835 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1835?r=36&s=1&r=88,04/18/24,D,A,UC
118th Congress (2023-2024),S.Amdt.1819,S.Res.174,"Coons, Christopher A. [Sen.-D-DE]",Amendment SA 1819 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1819?r=36&s=1&r=89,04/15/24,D,A,UC
118th Congress (2023-2024),S.Amdt.1818,S.3613,"Peters, Gary C. [Sen.-D-MI]",Amendment SA 1818 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1818?r=36&s=1&r=90,03/23/24,D,A,UC
118th Congress (2023-2024),S.Amdt.1691,S.1189,"Capito, Shelley Moore [Sen.-R-WV]",Amendment SA 1691 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1691?r=36&s=1&r=91,03/12/24,R,A,UC
118th Congress (2023-2024),S.Amdt.1693,H.R.2882,"Kelly, Mark [Sen.-D-AZ]",Amendment SA 1693 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1693?r=36&s=1&r=92,03/12/24,D,A,UC
118th Congress (2023-2024),S.Amdt.1694,S.50,"Rubio, Marco [Sen.-R-FL]",Amendment SA 1694 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1694?r=36&s=1&r=93,03/12/24,R,A,UC
118th Congress (2023-2024),S.Amdt.1692,S.1194,"Carper, Thomas R. [Sen.-D-DE]",Amendment SA 1692 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1692?r=36&s=1&r=94,03/12/24,D,A,UC
118th Congress (2023-2024),S.Amdt.1388,H.R.815,"Murray, Patty [Sen.-D-WA]",Amendment SA 1388 agreed to in Senate by Yea-Nay Vote. 66 - 33. Record Vote Number: 46. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1388?r=36&s=1&r=95,02/12/24,D,A,RCV
118th Congress (2023-2024),S.Amdt.1594,S.1147,"Cornyn, John [Sen.-R-TX]",Amendment SA 1594 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1594?r=36&s=1&r=96,02/09/24,R,A,UC
118th Congress (2023-2024),S.Amdt.1381,H.R.2872,"Murray, Patty [Sen.-D-WA]",Amendment SA 1381 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1381?r=36&s=1&r=97,01/18/24,D,A,UC
118th Congress (2023-2024),S.Amdt.1379,S.484,"Peters, Gary C. [Sen.-D-MI]",Amendment SA 1379 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1379?r=36&s=1&r=98,12/19/23,D,A,UC
118th Congress (2023-2024),S.Amdt.1380,S.Res.423,"Ernst, Joni [Sen.-R-IA]",Amendment SA 1380 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1380?r=36&s=1&r=99,12/19/23,R,A,UC
118th Congress (2023-2024),S.Amdt.1378,S.2228,"Kelly, Mark [Sen.-D-AZ]",Amendment SA 1378 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1378?r=36&s=1&r=100,12/14/23,D,A,UC
118th Congress (2023-2024),S.Amdt.1377,S.474,"Blackburn, Marsha [Sen.-R-TN]",Amendment SA 1377 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1377?r=36&s=1&r=101,12/14/23,R,A,UC
118th Congress (2023-2024),S.Amdt.1372,S.3250,"Cornyn, John [Sen.-R-TX]",Amendment SA 1372 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1372?r=36&s=1&r=102,12/06/23,R,A,UC
118th Congress (2023-2024),S.Amdt.1370,S.2087,"Lummis, Cynthia M. [Sen.-R-WY]",Amendment SA 1370 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1370?r=36&s=1&r=103,12/04/23,R,A,UC
118th Congress (2023-2024),S.Amdt.1369,S.1510,"Braun, Mike [Sen.-R-IN]",Amendment SA 1369 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1369?r=36&s=1&r=104,11/16/23,R,A,UC
118th Congress (2023-2024),S.Amdt.1367,S.3000,"Peters, Gary C. [Sen.-D-MI]",,congress.gov/amendment/118th-congress/senate-amendment/1367?r=36&s=1&r=105,,D,INPUT BY HAND,INPUT BY HAND
118th Congress (2023-2024),S.Amdt.1368,S.106,"Baldwin, Tammy [Sen.-D-WI]",Amendment SA 1368 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1368?r=36&s=1&r=106,11/16/23,D,A,UC
118th Congress (2023-2024),S.Amdt.1365,S.Res.408,"Rosen, Jacky [Sen.-D-NV]",Amendment SA 1365 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1365?r=36&s=1&r=107,11/09/23,D,A,UC
118th Congress (2023-2024),S.Amdt.1364,S.Res.408,"Rosen, Jacky [Sen.-D-NV]",Amendment SA 1364 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1364?r=36&s=1&r=108,11/09/23,D,A,UC
118th Congress (2023-2024),S.Amdt.1363,S.670,"Peters, Gary C. [Sen.-D-MI]",Amendment SA 1363 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1363?r=36&s=1&r=109,11/08/23,D,A,UC
118th Congress (2023-2024),S.Amdt.1362,S.Res.126,"Merkley, Jeff [Sen.-D-OR]",Amendment SA 1362 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1362?r=36&s=1&r=110,11/06/23,D,A,UC
118th Congress (2023-2024),S.Amdt.1361,S.499,"Cornyn, John [Sen.-R-TX]",Amendment SA 1361 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1361?r=36&s=1&r=111,11/02/23,R,A,UC
118th Congress (2023-2024),S.Amdt.1360,S.Con.Res.7,"Cardin, Benjamin L. [Sen.-D-MD]",Amendment SA 1360 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1360?r=36&s=1&r=112,11/02/23,D,A,UC
118th Congress (2023-2024),S.Amdt.1359,S.Con.Res.7,"Cardin, Benjamin L. [Sen.-D-MD]",Amendment SA 1359 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1359?r=36&s=1&r=113,11/02/23,D,A,UC
118th Congress (2023-2024),S.Amdt.1092,H.R.4366,"Murray, Patty [Sen.-D-WA]",Amendment SA 1092 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1092?r=36&s=1&r=114,11/01/23,D,A,VV
118th Congress (2023-2024),S.Amdt.1357,H.R.662,"Scott, Rick [Sen.-R-FL]",Amendment SA 1357 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1357?r=36&s=1&r=115,11/01/23,R,A,UC
118th Congress (2023-2024),S.Amdt.1177,S.Amdt.1092,"Ernst, Joni [Sen.-R-IA]",Amendment SA 1177 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1177?r=36&s=1&r=116,10/31/23,R,A,VV
118th Congress (2023-2024),S.Amdt.1358,S.447,"Hickenlooper, John W. [Sen.-D-CO]",Amendment SA 1358 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1358?r=116&s=1&s=1&r=117,10/31/23,D,A,UC
118th Congress (2023-2024),S.Amdt.1349,S.Amdt.1092,"Blackburn, Marsha [Sen.-R-TN]",Amendment SA 1349 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1349?r=116&s=1&r=118,10/31/23,R,A,VV
118th Congress (2023-2024),S.Amdt.1200,S.Amdt.1092,"Hawley, Josh [Sen.-R-MO]",Amendment SA 1200 agreed to in Senate by Yea-Nay Vote. 61 - 36. Record Vote Number: 277. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1200?r=118&s=1&s=1&r=119,10/31/23,R,A,RCV
118th Congress (2023-2024),S.Amdt.1220,S.Amdt.1092,"Rosen, Jacky [Sen.-D-NV]",Amendment SA 1220 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1220?r=119&s=1&s=1&r=120,10/25/23,D,A,VV
118th Congress (2023-2024),S.Amdt.1255,S.Amdt.1092,"Ossoff, Jon [Sen.-D-GA]",Amendment SA 1255 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1255?r=120&s=1&s=1&r=121,10/25/23,D,A,VV
118th Congress (2023-2024),S.Amdt.1185,S.Amdt.1092,"Daines, Steve [Sen.-R-MT]",Amendment SA 1185 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1185?r=121&s=1&s=1&r=122,10/25/23,R,A,VV
118th Congress (2023-2024),S.Amdt.1283,S.Amdt.1092,"Peters, Gary C. [Sen.-D-MI]",Amendment SA 1283 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1283?r=122&s=1&s=1&r=123,10/25/23,D,A,VV
118th Congress (2023-2024),S.Amdt.1277,S.Amdt.1092,"Cardin, Benjamin L. [Sen.-D-MD]",Amendment SA 1277 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1277?r=123&s=1&s=1&r=124,10/25/23,D,A,VV
118th Congress (2023-2024),S.Amdt.1203,S.Amdt.1092,"Klobuchar, Amy [Sen.-D-MN]",Amendment SA 1203 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1203?r=124&s=1&s=1&r=125,10/25/23,D,A,VV
118th Congress (2023-2024),S.Amdt.1139,S.Amdt.1092,"Padilla, Alex [Sen.-D-CA]",Amendment SA 1139 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1139?r=125&s=1&s=1&r=126,10/25/23,D,A,VV
118th Congress (2023-2024),S.Amdt.1175,S.Amdt.1092,"Booker, Cory A. [Sen.-D-NJ]",Amendment SA 1175 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1175?r=126&s=1&s=1&r=127,10/25/23,D,A,VV
118th Congress (2023-2024),S.Amdt.1134,S.Amdt.1092,"Smith, Tina [Sen.-D-MN]",Amendment SA 1134 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1134?r=127&s=1&s=1&r=128,10/25/23,D,A,VV
118th Congress (2023-2024),S.Amdt.1131,S.Amdt.1092,"Shaheen, Jeanne [Sen.-D-NH]",Amendment SA 1131 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1131?r=128&s=1&s=1&r=129,10/25/23,D,A,VV
118th Congress (2023-2024),S.Amdt.1354,S.Amdt.1092,"Kennedy, John [Sen.-R-LA]",Amendment SA 1354 agreed to in Senate by Yea-Nay Vote. 53 - 45. Record Vote Number: 268. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1354?r=129&s=1&s=1&r=130,10/25/23,R,A,RCV
118th Congress (2023-2024),S.Amdt.1352,S.Amdt.1092,"Merkley, Jeff [Sen.-D-OR]",Amendment SA 1352 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1352?r=130&s=1&s=1&r=131,10/25/23,D,A,VV
118th Congress (2023-2024),S.Amdt.1351,S.Amdt.1092,"Warnock, Raphael G. [Sen.-D-GA]",Amendment SA 1351 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1351?r=131&s=1&s=1&r=132,10/25/23,D,A,VV
118th Congress (2023-2024),S.Amdt.1270,S.Amdt.1092,"Britt, Katie Boyd [Sen.-R-AL]",Amendment SA 1270 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1270?r=132&s=1&s=1&r=133,10/25/23,R,A,VV
118th Congress (2023-2024),S.Amdt.1250,S.Amdt.1092,"Moran, Jerry [Sen.-R-KS]",Amendment SA 1250 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1250?r=133&s=1&s=1&r=134,10/25/23,R,A,VV
118th Congress (2023-2024),S.Amdt.1264,S.Amdt.1092,"Tillis, Thomas [Sen.-R-NC]",Amendment SA 1264 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1264?r=134&s=1&s=1&r=135,10/25/23,R,A,VV
118th Congress (2023-2024),S.Amdt.1210,S.Amdt.1092,"Vance, J. D. [Sen.-R-OH]",Amendment SA 1210 agreed to in Senate by Yea-Nay Vote. 59 - 38. Record Vote Number: 266. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1210?r=135&s=1&s=1&r=136,10/25/23,R,A,RCV
118th Congress (2023-2024),S.Amdt.1216,S.Amdt.1092,"Sullivan, Dan [Sen.-R-AK]",Amendment SA 1216 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1216?r=136&s=1&s=1&r=137,10/25/23,R,A,VV
118th Congress (2023-2024),S.Amdt.1221,S.Amdt.1092,"Sullivan, Dan [Sen.-R-AK]",Amendment SA 1221 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1221?r=137&s=1&s=1&r=138,10/25/23,R,A,VV
118th Congress (2023-2024),S.Amdt.1202,S.Amdt.1092,"Reed, Jack [Sen.-D-RI]",Amendment SA 1202 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1202?r=138&s=1&s=1&r=139,10/25/23,D,A,VV
118th Congress (2023-2024),S.Amdt.1133,S.Amdt.1092,"Kelly, Mark [Sen.-D-AZ]",Amendment SA 1133 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1133?r=139&s=1&s=1&r=140,10/25/23,D,A,VV
118th Congress (2023-2024),S.Amdt.1140,S.Amdt.1092,"Padilla, Alex [Sen.-D-CA]",Amendment SA 1140 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1140?r=140&s=1&s=1&r=141,10/25/23,D,A,VV
118th Congress (2023-2024),S.Amdt.1113,S.Amdt.1092,"Hirono, Mazie K. [Sen.-D-HI]",Amendment SA 1113 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1113?r=141&s=1&s=1&r=142,10/25/23,D,A,VV
118th Congress (2023-2024),S.Amdt.1116,S.Amdt.1092,"Kelly, Mark [Sen.-D-AZ]",Amendment SA 1116 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1116?r=142&s=1&s=1&r=143,10/25/23,D,A,VV
118th Congress (2023-2024),S.Amdt.1117,S.Amdt.1092,"Rosen, Jacky [Sen.-D-NV]",Amendment SA 1117 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1117?r=143&s=1&s=1&r=144,10/25/23,D,A,VV
118th Congress (2023-2024),S.Amdt.1115,S.Amdt.1092,"Stabenow, Debbie [Sen.-D-MI]",Amendment SA 1115 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1115?r=144&s=1&s=1&r=145,10/25/23,D,A,VV
118th Congress (2023-2024),S.Amdt.1120,S.Amdt.1092,"Schatz, Brian [Sen.-D-HI]",Amendment SA 1120 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1120?r=145&s=1&s=1&r=146,10/25/23,D,A,VV
118th Congress (2023-2024),S.Amdt.1286,S.Res.208,"Shaheen, Jeanne [Sen.-D-NH]",Amendment SA 1286 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1286?r=146&s=1&s=1&r=147,09/21/23,D,A,UC
118th Congress (2023-2024),S.Amdt.1287,S.Res.208,"Shaheen, Jeanne [Sen.-D-NH]",Amendment SA 1287 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1287?r=146&s=1&r=148,09/21/23,D,A,UC
118th Congress (2023-2024),S.Amdt.1261,S.Res.238,"Tester, Jon [Sen.-D-MT]",Amendment SA 1261 agreed to in Senate by Unanimous Consent. (consideration: CR S4606) (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1261?r=146&s=1&r=149,09/19/23,D,A,UC
118th Congress (2023-2024),S.Amdt.1087,S.Amdt.935,"Reed, Jack [Sen.-D-RI]",Amendment SA 1087 agreed to in Senate by Yea-Nay Vote. 94 - 3. Record Vote Number: 211. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1087?r=146&s=1&r=150,07/27/23,D,A,RCV
118th Congress (2023-2024),S.Amdt.1088,S.1528,"Peters, Gary C. [Sen.-D-MI]",Amendment SA 1088 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1088?r=150&s=1&s=1&r=151,07/27/23,D,A,UC
118th Congress (2023-2024),S.Amdt.230,S.Amdt.935,"Young, Todd [Sen.-R-IN]",Amendment SA 230 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/230?r=150&s=1&r=152,07/27/23,R,A,VV
118th Congress (2023-2024),S.Amdt.1090,S.992,"Cruz, Ted [Sen.-R-TX]",Amendment SA 1090 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1090?r=152&s=1&s=1&r=153,07/27/23,R,A,UC
118th Congress (2023-2024),S.Amdt.1065,S.Amdt.935,"Gillibrand, Kirsten E. [Sen.-D-NY]","Amendment SA 1065 under the order of 7/26/2023, having achieved 60 votes in the affirmative, was agreed to in Senate by Yea-Nay Vote. 94 - 4. Record Vote Number: 206. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/1065?r=152&s=1&r=154,07/27/23,D,A,RCV
118th Congress (2023-2024),S.Amdt.1058,S.Amdt.935,"Hawley, Josh [Sen.-R-MO]","Amendment SA 1058 under the order of 7/26/2023, having achieved 60 votes in the affirmative, was agreed to in Senate by Yea-Nay Vote. 61 - 37. Record Vote Number: 207. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/1058?r=154&s=1&s=1&r=155,07/27/23,R,A,RCV
118th Congress (2023-2024),S.Amdt.999,S.Amdt.935,"Barrasso, John [Sen.-R-WY]","Amendment SA 999 under the order of 7/26/2023, having achieved 60 votes in the affirmative, was agreed to in Senate by Yea-Nay Vote. 96 - 3. Record Vote Number: 202. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/999?r=155&s=1&s=1&r=156,07/27/23,R,A,RCV
118th Congress (2023-2024),S.Amdt.944,S.Amdt.935,"Scott, Tim [Sen.-R-SC]",Amendment SA 944 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/944?r=156&s=1&s=1&r=157,07/27/23,R,A,VV
118th Congress (2023-2024),S.Amdt.1089,S.788,"Boozman, John [Sen.-R-AR]",Amendment SA 1089 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1089?r=157&s=1&s=1&r=158,07/27/23,R,A,UC
118th Congress (2023-2024),S.Amdt.1091,S.1858,"Peters, Gary C. [Sen.-D-MI]",Amendment SA 1091 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1091?r=157&s=1&r=159,07/27/23,D,A,UC
118th Congress (2023-2024),S.Amdt.1084,S.Amdt.935,"Daines, Steve [Sen.-R-MT]",Amendment SA 1084 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1084?r=157&s=1&r=160,07/27/23,R,A,VV
118th Congress (2023-2024),S.Amdt.935,S.2226,"Reed, Jack [Sen.-D-RI]","Amendment SA 935, as amended, agreed to in Senate by Unanimous Consent. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/935?r=160&s=1&s=1&r=161,07/27/23,D,A,UC
118th Congress (2023-2024),S.Amdt.1078,S.Amdt.935,"Schatz, Brian [Sen.-D-HI]","Amendment SA 1078 under the order of 7/27/2023, having achieved 60 votes in the affirmative, was agreed to in Senate by Yea-Nay Vote. 86 - 11. Record Vote Number: 209. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/1078?r=160&s=1&r=162,07/27/23,D,A,RCV
118th Congress (2023-2024),S.Amdt.638,S.Amdt.935,"Menendez, Robert [Sen.-D-NJ]","Amendment SA 638 under the order of 7/26/2023, having achieved 60 votes in the affirmative, was agreed to in Senate by Yea-Nay Vote. 96 - 2. Record Vote Number: 208. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/638?r=162&s=1&s=1&r=163,07/27/23,D,A,RCV
118th Congress (2023-2024),S.Amdt.705,S.Amdt.935,"Cardin, Benjamin L. [Sen.-D-MD]",Amendment SA 705 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/705?r=163&s=1&s=1&r=164,07/27/23,D,A,VV
118th Congress (2023-2024),S.Amdt.1066,S.Res.166,"Cruz, Ted [Sen.-R-TX]",Amendment SA 1066 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1066?r=164&s=1&s=1&r=165,07/26/23,R,A,UC
118th Congress (2023-2024),S.Amdt.199,S.Amdt.935,"Warnock, Raphael G. [Sen.-D-GA]","Amendment SA 199 under the order of 7/20/2023, having achieved 60 votes in the affirmative, was agreed to in Senate by Yea-Nay Vote. 95 - 2. Record Vote Number: 198. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/199?r=164&s=1&r=166,07/26/23,D,A,RCV
118th Congress (2023-2024),S.Amdt.931,S.Amdt.935,"Cornyn, John [Sen.-R-TX]","Amendment SA 931 under the order of 7/20/2023, having achieved 60 votes in the affirmative, was agreed to in Senate by Yea-Nay Vote. 91 - 6. Record Vote Number: 196. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/931?r=166&s=1&s=1&r=167,07/25/23,R,A,RCV
118th Congress (2023-2024),S.Amdt.813,S.Amdt.935,"Rounds, Mike [Sen.-R-SD]","Amendment SA 813 under the order of 7/20/2023, having achieved 60 votes in the affirmative, was agreed to in Senate by Yea-Nay Vote. 91 - 7. Record Vote Number: 197. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/813?r=167&s=1&s=1&r=168,07/25/23,R,A,RCV
118th Congress (2023-2024),S.Amdt.510,S.Amdt.935,"Scott, Rick [Sen.-R-FL]",Amendment SA 510 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/510?r=168&s=1&s=1&r=169,07/20/23,R,A,VV
