Congress,S.Amdt.No,Amends,Sponsor,Latest Action,url,Latest Action Date,Sponsor Party,Outcome,Action Type
118th Congress (2023-2024),S.Amdt.315,S.Amdt.935,"Sinema, Kyrsten [Sen.-I-AZ]",Amendment SA 315 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/315?r=169&s=1&s=1&r=170,07/20/23,,A,VV
118th Congress (2023-2024),S.Amdt.926,S.Amdt.935,"Cruz, Ted [Sen.-R-TX]","Amendment SA 926 under the order of 7/19/2023, having achieved 60 votes in the affirmative, was agreed to in Senate by Yea-Nay Vote. 85 - 14. Record Vote Number: 194. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/926?r=170&s=1&s=1&r=171,07/20/23,R,A,RCV
118th Congress (2023-2024),S.Amdt.823,S.Amdt.935,"Romney, Mitt [Sen.-R-UT]",Amendment SA 823 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/823?r=171&s=1&s=1&r=172,07/20/23,R,A,VV
118th Congress (2023-2024),S.Amdt.949,S.Amdt.935,"Moran, Jerry [Sen.-R-KS]",Amendment SA 949 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/949?r=172&s=1&s=1&r=173,07/20/23,R,A,VV
118th Congress (2023-2024),S.Amdt.273,S.Amdt.935,"Grassley, Chuck [Sen.-R-IA]",Amendment SA 273 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/273?r=173&s=1&s=1&r=174,07/20/23,R,A,VV
118th Congress (2023-2024),S.Amdt.224,S.Amdt.935,"Blackburn, Marsha [Sen.-R-TN]",Amendment SA 224 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/224?r=174&s=1&s=1&r=175,07/20/23,R,A,VV
118th Congress (2023-2024),S.Amdt.685,S.Amdt.935,"Baldwin, Tammy [Sen.-D-WI]",Amendment SA 685 agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/685?r=175&s=1&s=1&r=176,07/20/23,D,A,VV
118th Congress (2023-2024),S.Amdt.300,S.Amdt.935,"Murray, Patty [Sen.-D-WA]","Amendment SA 300 under the order of 7/19/2023, having achieved 60 votes in the affirmative, was agreed to in Senate by Yea-Nay Vote. 96 - 2. Record Vote Number: 189. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/300?r=176&s=1&s=1&r=177,07/19/23,D,A,RCV
118th Congress (2023-2024),S.Amdt.429,S.Amdt.935,"Kaine, Tim [Sen.-D-VA]","Amendment SA 429 under the order of 7/19/2023, having achieved 60 votes in the affirmative, was agreed to in Senate by Yea-Nay Vote. 65 - 28. Record Vote Number: 190. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/429?r=177&s=1&s=1&r=178,07/19/23,D,A,RCV
118th Congress (2023-2024),S.Amdt.934,S.794,"Cornyn, John [Sen.-R-TX]",Amendment SA 934 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/934?r=178&s=1&s=1&r=179,07/18/23,R,A,UC
118th Congress (2023-2024),S.Amdt.659,S.1096,"Hassan, Margaret Wood [Sen.-D-NH]",Amendment SA 659 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/659?r=178&s=1&r=180,07/13/23,D,A,UC
118th Congress (2023-2024),S.Amdt.139,H.R.1734,"Cruz, Ted [Sen.-R-TX]",Amendment SA 139 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/139?r=178&s=1&r=181,06/22/23,R,A,UC
118th Congress (2023-2024),S.Amdt.135,S.305,"Blumenthal, Richard [Sen.-D-CT]",Amendment SA 135 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/135?r=178&s=1&r=182,06/13/23,D,A,UC
118th Congress (2023-2024),S.Amdt.90,S.Res.209,"Hirono, Mazie K. [Sen.-D-HI]",Amendment SA 90 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/90?r=178&s=1&r=183,05/18/23,D,A,UC
118th Congress (2023-2024),S.Amdt.89,H.R.346,"Cantwell, Maria [Sen.-D-WA]",Amendment SA 89 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/89?r=178&s=1&r=184,05/09/23,D,A,UC
117th Congress (2021-2022),S.Amdt.6559,S.Amdt.6552,"Johnson, Ron [Sen.-R-WI]","Amendment SA 6559, under the order of 12/22/22, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 47 - 50. Record Vote Number: 411.  (All Actions)",congress.gov/amendment/117th-congress/senate-amendment/6559?r=178&s=1&r=185,12/22/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.6561,S.Amdt.6552,"Paul, Rand [Sen.-R-KY]","Amendment SA 6561, under the order of 12/22/22, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 34 - 63. Record Vote Number: 409.  (All Actions)",congress.gov/amendment/117th-congress/senate-amendment/6561?r=185&s=1&s=1&r=186,12/22/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.6621,S.Amdt.6552,"Sinema, Kyrsten [Sen.-D-AZ]","Amendment SA 6621, under the order of 12/22/22, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 10 - 87. Record Vote Number: 412.  (All Actions)",congress.gov/amendment/117th-congress/senate-amendment/6621?r=186&s=1&s=1&r=187,12/22/22,D,NA,RCV
117th Congress (2021-2022),S.Amdt.6569,S.Amdt.6558 (which amends S.Amdt.6552),"Braun, Mike [Sen.-R-IN]","Amendment SA 6569, under the order of 12/22/22, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 40 - 57. Record Vote Number: 415.  (All Actions)",congress.gov/amendment/117th-congress/senate-amendment/6569?r=187&s=1&s=1&r=188,12/22/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.6577,S.Amdt.6558 (which amends S.Amdt.6552),"Lankford, James [Sen.-R-OK]",Amendment SA 6577 not agreed to in Senate by Yea-Nay Vote. 44 - 53. Record Vote Number: 414.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/6577?r=188&s=1&s=1&r=189,12/22/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.6555,S.Amdt.6552,"Johnson, Ron [Sen.-R-WI]",Amendment SA 6555 not agreed to in Senate by Yea-Nay Vote. 34 - 63. Record Vote Number: 410.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/6555?r=189&s=1&s=1&r=190,12/22/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.6563,S.Amdt.6552,"Lee, Mike [Sen.-R-UT]",Amendment SA 6563 not agreed to in Senate by Yea-Nay Vote. 47 - 50. Record Vote Number: 413.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/6563?r=190&s=1&s=1&r=191,12/22/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.6541,H.R.1437,"Lee, Mike [Sen.-R-UT]","Amendment SA 6541, as modified, not agreed to in Senate by Yea-Nay Vote. 35 - 56. Record Vote Number: 398. (text as modified: CR S7238-7239) (All Actions)",congress.gov/amendment/117th-congress/senate-amendment/6541?r=191&s=1&s=1&r=192,12/15/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.6526,H.R.7776,"Johnson, Ron [Sen.-R-WI]","Amendment SA 6526, under the order of 12/15/22, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 40 - 54. Record Vote Number: 395.  (All Actions)",congress.gov/amendment/117th-congress/senate-amendment/6526?r=191&s=1&r=193,12/15/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.6540,H.R.1437,"Scott, Rick [Sen.-R-FL]","Amendment SA 6540, under the order of 12/15/22, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 45 - 47. Record Vote Number: 397.  (All Actions)",congress.gov/amendment/117th-congress/senate-amendment/6540?r=191&s=1&r=194,12/15/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.6503,H.J.Res.100,"Sullivan, Dan [Sen.-R-AK]","Amendment SA 6503, under the order of 12/1/22, not having achieved 60 votes in the affirmative, not agreed to in Senate by Yea-Nay Vote. 25 - 70. Record Vote Number: 370.  (All Actions)",congress.gov/amendment/117th-congress/senate-amendment/6503?r=191&s=1&r=195,12/01/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.6496,S.Amdt.6487,"Lankford, James [Sen.-R-OK]",Amendment SA 6496 not agreed to in Senate by Yea-Nay Vote. 45 - 52. Record Vote Number: 360.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/6496?r=191&s=1&r=196,11/29/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.6493,S.Amdt.6487,"Rubio, Marco [Sen.-R-FL]",Amendment SA 6493 not agreed to in Senate by Yea-Nay Vote. 45 - 52. Record Vote Number: 361.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/6493?r=196&s=1&s=1&r=197,11/29/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.6482,S.Amdt.6487,"Lee, Mike [Sen.-R-UT]","Amendment SA 6482 under the order of 11/28/2022, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 48 - 49. Record Vote Number: 359.  (All Actions)",congress.gov/amendment/117th-congress/senate-amendment/6482?r=197&s=1&s=1&r=198,11/29/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.5209,S.Amdt.5194,"Sanders, Bernard [Sen.-I-VT]",Amendment SA 5209 not agreed to in Senate by Yea-Nay Vote. 1 - 98. Record Vote Number: 299.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/5209?r=198&s=1&s=1&r=199,08/07/22,,NA,RCV
117th Congress (2021-2022),S.Amdt.5281,S.Amdt.5194,"Sanders, Bernard [Sen.-I-VT]",Amendment SA 5281 not agreed to in Senate by Yea-Nay Vote. 1 - 99. Record Vote Number: 312.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/5281?r=199&s=1&s=1&r=200,08/07/22,,NA,RCV
117th Congress (2021-2022),S.Amdt.5418,S.Amdt.5194,"Shelby, Richard C. [Sen.-R-AL]",Amendment SA 5418 not agreed to in Senate by Yea-Nay Vote. 50 - 50. Record Vote Number: 306.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/5418?r=200&s=1&s=1&r=201,08/07/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.5409,S.Amdt.5194,"Barrasso, John [Sen.-R-WY]",Amendment SA 5409 not agreed to in Senate by Yea-Nay Vote. 50 - 50. Record Vote Number: 291.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/5409?r=201&s=1&s=1&r=202,08/07/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.5384,S.Amdt.5194,"Lankford, James [Sen.-R-OK]",Amendment SA 5384 not agreed to in Senate by Yea-Nay Vote. 50 - 50. Record Vote Number: 294.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/5384?r=202&s=1&s=1&r=203,08/07/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.5385,S.Amdt.5194,"Kennedy, John [Sen.-R-LA]",Amendment SA 5385 not agreed to in Senate by Yea-Nay Vote. 50 - 50. Record Vote Number: 313.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/5385?r=203&s=1&s=1&r=204,08/07/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.5211,S.Amdt.5194,"Sanders, Bernard [Sen.-I-VT]",Amendment SA 5211 not agreed to in Senate by Yea-Nay Vote. 3 - 97. Record Vote Number: 292.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/5211?r=204&s=1&s=1&r=205,08/07/22,,NA,RCV
117th Congress (2021-2022),S.Amdt.5208,S.Amdt.5194,"Sanders, Bernard [Sen.-I-VT]",Amendment SA 5208 not agreed to in Senate by Yea-Nay Vote. 1 - 97. Record Vote Number: 308.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/5208?r=205&s=1&s=1&r=206,08/07/22,,NA,RCV
117th Congress (2021-2022),S.Amdt.5382,S.Amdt.5194,"Capito, Shelley Moore [Sen.-R-WV]",Amendment SA 5382 not agreed to in Senate by Yea-Nay Vote. 50 - 50. Record Vote Number: 293.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/5382?r=206&s=1&s=1&r=207,08/07/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.5387,S.Amdt.5194,"Kennedy, John [Sen.-R-LA]",Amendment SA 5387 not agreed to in Senate by Yea-Nay Vote. 50 - 50. Record Vote Number: 303.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/5387?r=207&s=1&s=1&r=208,08/07/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.5404,S.Amdt.5194,"Crapo, Mike [Sen.-R-ID]",Amendment SA 5404 not agreed to in Senate by Yea-Nay Vote. 50 - 50. Record Vote Number: 296.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/5404?r=208&s=1&s=1&r=209,08/07/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.5389,S.Amdt.5194,"Marshall, Roger [Sen.-R-KS]",Amendment SA 5389 not agreed to in Senate by Yea-Nay Vote. 50 - 50. Record Vote Number: 298.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/5389?r=209&s=1&s=1&r=210,08/07/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.5316,S.Amdt.5194,"Lee, Mike [Sen.-R-UT]",Amendment SA 5316 not agreed to in Senate by Yea-Nay Vote. 49 - 51. Record Vote Number: 305.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/5316?r=210&s=1&s=1&r=211,08/07/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.5301,S.Amdt.5194,"Graham, Lindsey [Sen.-R-SC]",Amendment SA 5301 not agreed to in Senate by Yea-Nay Vote. 50 - 50. Record Vote Number: 289.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/5301?r=211&s=1&s=1&r=212,08/07/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.5487,S.Amdt.5194,"Graham, Lindsey [Sen.-R-SC]",Amendment SA 5487 not agreed to in Senate by Yea-Nay Vote. 50 - 50. Record Vote Number: 321.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/5487?r=212&s=1&s=1&r=213,08/07/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.5263,S.Amdt.5194,"Cruz, Ted [Sen.-R-TX]",Amendment SA 5263 not agreed to in Senate by Yea-Nay Vote. 50 - 50. Record Vote Number: 309.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/5263?r=213&s=1&s=1&r=214,08/07/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.5421,S.Amdt.5194,"Grassley, Chuck [Sen.-R-IA]",Amendment SA 5421 not agreed to in Senate by Yea-Nay Vote. 49 - 51. Record Vote Number: 301.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/5421?r=214&s=1&s=1&r=215,08/07/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.5435,S.Amdt.5194,"Sullivan, Dan [Sen.-R-AK]",Amendment SA 5435 not agreed to in Senate by Yea-Nay Vote. 50 - 50. Record Vote Number: 320.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/5435?r=215&s=1&s=1&r=216,08/07/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.5191,N/A,"Paul, Rand [Sen.-R-KY]",Amendment SA 5191 not agreed to in Senate by Yea-Nay Vote. 10 - 87. Record Vote Number: 281.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/5191?r=216&s=1&s=1&r=217,08/03/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.5184,S.3373,"Paul, Rand [Sen.-R-KY]","Amendment SA 5184, under the order of 8/2/22, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 7 - 90. Record Vote Number: 277.  (All Actions)",congress.gov/amendment/117th-congress/senate-amendment/5184?r=216&s=1&r=218,08/02/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.5185,S.3373,"Blackburn, Marsha [Sen.-R-TN]","Amendment SA 5185, under the order of 8/2/22, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 48 - 47. Record Vote Number: 279.  (All Actions)",congress.gov/amendment/117th-congress/senate-amendment/5185?r=216&s=1&r=219,08/02/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.5186,S.3373,"Toomey, Patrick [Sen.-R-PA]","Amendment SA 5186, under the order of 8/2/22, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 47 - 48. Record Vote Number: 278.  (All Actions)",congress.gov/amendment/117th-congress/senate-amendment/5186?r=216&s=1&r=220,08/02/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.4989,H.R.2471,"Lee, Mike [Sen.-R-UT]",Amendment SA 4989 not agreed to in Senate by Yea-Nay Vote. 49 - 50. Record Vote Number: 75.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/4989?r=216&s=1&r=221,03/10/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.4990,H.R.2471,"Braun, Mike [Sen.-R-IN]",Amendment SA 4990 not agreed to in Senate by Yea-Nay Vote. 35 - 64. Record Vote Number: 76.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/4990?r=216&s=1&r=222,03/10/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.4983,H.R.2471,"Kennedy, John [Sen.-R-LA]","Amendment SA 4983, under the order of 3/10/2022, not having achieved 60 votes in the affirmative, not agreed to in Senate by Yea-Nay Vote. 35 - 64. Record Vote Number: 77.  (All Actions)",congress.gov/amendment/117th-congress/senate-amendment/4983?r=216&s=1&r=223,03/10/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.4927,H.R.6617,"Cruz, Ted [Sen.-R-TX]",Amendment SA 4927 not agreed to in Senate by Yea-Nay Vote. 44 - 49. Record Vote Number: 62.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/4927?r=216&s=1&r=224,02/17/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.4930,H.R.6617,"Braun, Mike [Sen.-R-IN]","Amendment SA 4930, under the order of 2/17/2022, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 47 - 45. Record Vote Number: 63.  (All Actions)",congress.gov/amendment/117th-congress/senate-amendment/4930?r=216&s=1&r=225,02/17/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.4929,H.R.6617,"Lee, Mike [Sen.-R-UT]",Amendment SA 4929 not agreed to in Senate by Yea-Nay Vote. 46 - 47. Record Vote Number: 61.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/4929?r=216&s=1&r=226,02/17/22,R,NA,RCV
117th Congress (2021-2022),S.Amdt.6588,S.Amdt.6552,"Padilla, Alex [Sen.-D-CA]",Amendment SA 6588 agreed to in Senate by Voice Vote.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/6588?r=216&s=1&r=227,12/22/22,D,A,VV
117th Congress (2021-2022),S.Amdt.6597,S.Amdt.6552,"Klobuchar, Amy [Sen.-D-MN]","Amendment SA 6597, under the order of 12/22/22, having achieved 60 votes in the affirmative, was agreed to in Senate by Yea-Nay Vote. 88 - 8. Record Vote Number: 418.  (All Actions)",congress.gov/amendment/117th-congress/senate-amendment/6597?r=227&s=1&s=1&r=228,12/22/22,D,A,RCV
117th Congress (2021-2022),S.Amdt.6625,H.R.1082,"Wicker, Roger F. [Sen.-R-MS]",Amendment SA 6625 agreed to in Senate by Unanimous Consent.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/6625?r=228&s=1&s=1&r=229,12/22/22,R,A,UC
117th Congress (2021-2022),S.Amdt.6624,H.R.1082,"Wicker, Roger F. [Sen.-R-MS]",Amendment SA 6624 agreed to in Senate by Unanimous Consent.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/6624?r=228&s=1&r=230,12/22/22,R,A,UC
117th Congress (2021-2022),S.Amdt.6626,S.4321,"Sullivan, Dan [Sen.-R-AK]",Amendment SA 6626 agreed to in Senate by Unanimous Consent.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/6626?r=228&s=1&r=231,12/22/22,R,A,UC
117th Congress (2021-2022),S.Amdt.6627,S.3428,"Manchin, Joe, III [Sen.-D-WV]",Amendment SA 6627 agreed to in Senate by Unanimous Consent.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/6627?r=228&s=1&r=232,12/22/22,D,A,UC
117th Congress (2021-2022),S.Amdt.6628,S.3428,"Manchin, Joe, III [Sen.-D-WV]",Amendment SA 6628 agreed to in Senate by Unanimous Consent.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/6628?r=228&s=1&r=233,12/22/22,D,A,UC
117th Congress (2021-2022),S.Amdt.6596,S.Amdt.6552,"Graham, Lindsey [Sen.-R-SC]",Amendment SA 6596 as modified agreed to in Senate by Voice Vote.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/6596?r=228&s=1&r=234,12/22/22,R,A,VV
117th Congress (2021-2022),S.Amdt.6552,H.R.2617,"Leahy, Patrick J. [Sen.-D-VT]","Amendment SA 6552, under the order of 12/22/22, having achieved 60 votes in the affirmative, was agreed to in Senate by Yea-Nay Vote. 68 - 29. Record Vote Number: 421.  (All Actions)",congress.gov/amendment/117th-congress/senate-amendment/6552?r=234&s=1&s=1&r=235,12/22/22,D,A,RCV
117th Congress (2021-2022),S.Amdt.6607,S.Amdt.6552,"Gillibrand, Kirsten E. [Sen.-D-NY]","Amendment SA 6607 as modified, under the order of 12/22/22, having achieved 60 votes in the affirmative, was agreed to in Senate by Yea-Nay Vote. 90 - 6. Record Vote Number: 419.  (All Actions)",congress.gov/amendment/117th-congress/senate-amendment/6607?r=234&s=1&r=236,12/22/22,D,A,RCV
117th Congress (2021-2022),S.Amdt.6617,S.Amdt.6552,"Menendez, Robert [Sen.-D-NJ]","Amendment SA 6617, under the order of 12/22/22, having achieved 60 votes in the affirmative, was agreed to in Senate by Yea-Nay Vote. 93 - 4. Record Vote Number: 420.  (All Actions)",congress.gov/amendment/117th-congress/senate-amendment/6617?r=236&s=1&s=1&r=237,12/22/22,D,A,RCV
117th Congress (2021-2022),S.Amdt.6595,S.Amdt.6552,"Merkley, Jeff [Sen.-D-OR]","Amendment SA 6595, under the order of 12/22/22, having achieved 60 votes in the affirmative, was agreed to in Senate by Yea-Nay Vote. 92 - 5. Record Vote Number: 417.  (All Actions)",congress.gov/amendment/117th-congress/senate-amendment/6595?r=237&s=1&s=1&r=238,12/22/22,D,A,RCV
117th Congress (2021-2022),S.Amdt.6623,H.R.4373,"Leahy, Patrick J. [Sen.-D-VT]",Amendment SA 6623 agreed to in Senate by Unanimous Consent.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/6623?r=238&s=1&s=1&r=239,12/22/22,D,A,UC
117th Congress (2021-2022),S.Amdt.6576,S.Amdt.6552,"Lee, Mike [Sen.-R-UT]",Amendment SA 6576 agreed to in Senate by Voice Vote.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/6576?r=238&s=1&r=240,12/22/22,R,A,VV
117th Congress (2021-2022),S.Amdt.6558,S.Amdt.6552,"Cassidy, Bill [Sen.-R-LA]","Amendment SA 6558, under the order of 12/22/22, having achieved 60 votes in the affirmative, was agreed to in Senate by Yea-Nay Vote. 73 - 24. Record Vote Number: 416.  (All Actions)",congress.gov/amendment/117th-congress/senate-amendment/6558?r=240&s=1&s=1&r=241,12/22/22,R,A,RCV
117th Congress (2021-2022),S.Amdt.6614,S.Res.472,"Menendez, Robert [Sen.-D-NJ]",Amendment SA 6614 agreed to in Senate by Unanimous Consent.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/6614?r=241&s=1&s=1&r=242,12/21/22,D,A,UC
117th Congress (2021-2022),S.Amdt.6619,S.4814,"Hickenlooper, John W. [Sen.-D-CO]",Amendment SA 6619 agreed to in Senate by Unanimous Consent.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/6619?r=241&s=1&r=243,12/21/22,D,A,UC
117th Congress (2021-2022),S.Amdt.6590,S.4240,"Durbin, Richard J. [Sen.-D-IL]",Amendment SA 6590 agreed to in Senate by Unanimous Consent.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/6590?r=241&s=1&r=244,12/21/22,D,A,UC
117th Congress (2021-2022),S.Amdt.6580,S.1294,"Van Hollen, Chris [Sen.-D-MD]",Amendment SA 6580 agreed to in Senate by Unanimous Consent.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/6580?r=241&s=1&r=245,12/20/22,D,A,UC
117th Congress (2021-2022),S.Amdt.6583,S.3949,"Grassley, Chuck [Sen.-R-IA]",Amendment SA 6583 agreed to in Senate by Unanimous Consent.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/6583?r=241&s=1&r=246,12/20/22,R,A,UC
117th Congress (2021-2022),S.Amdt.6584,S.4120,"Reed, Jack [Sen.-D-RI]",Amendment SA 6584 agreed to in Senate by Unanimous Consent.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/6584?r=241&s=1&r=247,12/20/22,D,A,UC
117th Congress (2021-2022),S.Amdt.6586,S.3519,"Boozman, John [Sen.-R-AR]",Amendment SA 6586 agreed to in Senate by Unanimous Consent.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/6586?r=241&s=1&r=248,12/20/22,R,A,UC
117th Congress (2021-2022),S.Amdt.6587,S.1942,"Manchin, Joe, III [Sen.-D-WV]",Amendment SA 6587 agreed to in Senate by Unanimous Consent.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/6587?r=241&s=1&r=249,12/20/22,D,A,UC
117th Congress (2021-2022),S.Amdt.6578,H.R.7939,"Moran, Jerry [Sen.-R-KS]",Amendment SA 6578 agreed to in Senate by Unanimous Consent.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/6578?r=241&s=1&r=250,12/20/22,R,A,UC
117th Congress (2021-2022),S.Amdt.6556,S.5087,"Schatz, Brian [Sen.-D-HI]",Amendment SA 6556 agreed to in Senate by Unanimous Consent.  (All Actions),congress.gov/amendment/117th-congress/senate-amendment/6556?s=1&r=251,12/20/22,D,A,UC
